player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Kinchi",TgbSpva4XT,2024-12-19T20:50:34.422Z,2024-12-19T20:57:35.872Z,5000,0,0,-5000
"edub",adqyutu0wI,2024-12-19T20:50:34.440Z,2024-12-19T21:55:55.134Z,5000,0,0,-5000
"mccc",eBZQH9Tpfk,2024-12-19T20:50:34.432Z,2024-12-19T23:08:58.028Z,5000,10664,0,5664
"recahl",3JCqAOGicT,2024-12-19T20:50:34.401Z,2024-12-19T22:37:55.764Z,5000,6312,0,1312
"mcc",HEKAJxX7ay,,2024-12-19T20:45:55.022Z,5000,5000,0,0
"Mikky",GcqIA4bYed,2024-12-19T20:50:34.407Z,2024-12-19T21:48:28.686Z,5000,0,0,-5000
"rag",nZAruE0_pn,,2024-12-19T20:44:21.711Z,5000,5000,0,0
"venom",At2AXaMV6D,2024-12-19T20:50:34.436Z,2024-12-19T22:10:29.709Z,5000,8542,0,3542
"Dan",W131woZIq-,2024-12-19T20:50:34.391Z,2024-12-19T20:55:13.480Z,5000,0,0,-5000
"cat",V6Jp-3WCAQ,2024-12-19T20:50:34.413Z,2024-12-19T22:23:21.301Z,5000,4550,0,-450
