hand_count,Position,player_nickname,player_id,Stack,Profit
20,#5,alex,6_sDk2RBW8,750.0,0.0
20,#4,Solstice,VE6CjkevP7,880.0,380.0
20,#3,g,ZLzUxKGvQY,280.0,-470.0
20,#2,AndrewE8,ychRcKVV_K,486.0,-14.0
20,#10,ADURRRR,cUjvHJzz-e,652.0,152.0
20,#1,AJB,G5tNeuz87W,499.0,-1.0
21,#9,MS,5qVbrQw2gS,688.0,-62.0
21,#5,alex,6_sDk2RBW8,750.0,0.0
21,#4,Solstice,VE6CjkevP7,880.0,380.0
21,#3,g,ZLzUxKGvQY,347.0,-403.0
21,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
21,#10,ADURRRR,cUjvHJzz-e,602.0,102.0
21,#1,AJB,G5tNeuz87W,499.0,-1.0
22,#9,MS,5qVbrQw2gS,622.0,-128.0
22,#5,alex,6_sDk2RBW8,750.0,0.0
22,#4,Solstice,VE6CjkevP7,875.0,375.0
22,#3,g,ZLzUxKGvQY,418.0,-332.0
22,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
22,#10,ADURRRR,cUjvHJzz-e,602.0,102.0
22,#1,AJB,G5tNeuz87W,499.0,-1.0
23,#9,MS,5qVbrQw2gS,732.0,-18.0
23,#5,alex,6_sDk2RBW8,745.0,-5.0
23,#4,Solstice,VE6CjkevP7,873.0,373.0
23,#3,g,ZLzUxKGvQY,418.0,-332.0
23,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
23,#10,ADURRRR,cUjvHJzz-e,602.0,102.0
23,#1,AJB,G5tNeuz87W,396.0,-104.0
24,#9,MS,5qVbrQw2gS,727.0,-23.0
24,#5,alex,6_sDk2RBW8,687.0,-63.0
24,#4,Solstice,VE6CjkevP7,873.0,373.0
24,#3,g,ZLzUxKGvQY,481.0,-269.0
24,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
24,#10,ADURRRR,cUjvHJzz-e,602.0,102.0
24,#1,AJB,G5tNeuz87W,396.0,-104.0
25,#9,MS,5qVbrQw2gS,725.0,-25.0
25,#5,alex,6_sDk2RBW8,694.0,-56.0
25,#4,Solstice,VE6CjkevP7,873.0,373.0
25,#3,g,ZLzUxKGvQY,481.0,-269.0
25,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
25,#10,ADURRRR,cUjvHJzz-e,597.0,97.0
25,#1,AJB,G5tNeuz87W,396.0,-104.0
26,#9,MS,5qVbrQw2gS,725.0,-25.0
26,#5,alex,6_sDk2RBW8,694.0,-56.0
26,#4,Solstice,VE6CjkevP7,873.0,373.0
26,#3,g,ZLzUxKGvQY,488.0,-262.0
26,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
26,#10,ADURRRR,cUjvHJzz-e,595.0,95.0
26,#1,AJB,G5tNeuz87W,391.0,-109.0
27,#9,MS,5qVbrQw2gS,725.0,-25.0
27,#5,alex,6_sDk2RBW8,694.0,-56.0
27,#4,Solstice,VE6CjkevP7,873.0,373.0
27,#3,g,ZLzUxKGvQY,488.0,-262.0
27,#2,AndrewE8,ychRcKVV_K,486.0,-14.0
27,#10,ADURRRR,cUjvHJzz-e,595.0,95.0
27,#1,AJB,G5tNeuz87W,389.0,-111.0
28,#9,MS,5qVbrQw2gS,710.0,-40.0
28,#5,alex,6_sDk2RBW8,694.0,-56.0
28,#4,Solstice,VE6CjkevP7,873.0,373.0
28,#3,g,ZLzUxKGvQY,520.0,-230.0
28,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
28,#10,ADURRRR,cUjvHJzz-e,595.0,95.0
28,#1,AJB,G5tNeuz87W,374.0,-126.0
29,#9,MS,5qVbrQw2gS,710.0,-40.0
29,#5,alex,6_sDk2RBW8,694.0,-56.0
29,#4,Solstice,VE6CjkevP7,868.0,368.0
29,#3,g,ZLzUxKGvQY,518.0,-232.0
29,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
29,#10,ADURRRR,cUjvHJzz-e,595.0,95.0
29,#1,AJB,G5tNeuz87W,374.0,-126.0
30,#9,MS,5qVbrQw2gS,710.0,-40.0
30,#5,alex,6_sDk2RBW8,689.0,-61.0
30,#4,Solstice,VE6CjkevP7,878.0,378.0
30,#3,g,ZLzUxKGvQY,513.0,-237.0
30,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
30,#10,ADURRRR,cUjvHJzz-e,595.0,95.0
30,#1,AJB,G5tNeuz87W,374.0,-126.0
31,#9,MS,5qVbrQw2gS,650.0,-100.0
31,#5,alex,6_sDk2RBW8,749.0,-1.0
31,#4,Solstice,VE6CjkevP7,878.0,378.0
31,#3,g,ZLzUxKGvQY,513.0,-237.0
31,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
31,#10,ADURRRR,cUjvHJzz-e,595.0,95.0
31,#1,AJB,G5tNeuz87W,374.0,-126.0
32,#9,MS,5qVbrQw2gS,645.0,-105.0
32,#5,alex,6_sDk2RBW8,749.0,-1.0
32,#4,Solstice,VE6CjkevP7,878.0,378.0
32,#3,g,ZLzUxKGvQY,523.0,-227.0
32,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
32,#10,ADURRRR,cUjvHJzz-e,590.0,90.0
32,#1,AJB,G5tNeuz87W,374.0,-126.0
33,#9,MS,5qVbrQw2gS,645.0,-105.0
33,#5,alex,6_sDk2RBW8,749.0,-1.0
33,#4,Solstice,VE6CjkevP7,851.0,351.0
33,#3,g,ZLzUxKGvQY,557.0,-193.0
33,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
33,#10,ADURRRR,cUjvHJzz-e,588.0,88.0
33,#1,AJB,G5tNeuz87W,369.0,-131.0
34,#9,MS,5qVbrQw2gS,645.0,-105.0
34,#5,alex,6_sDk2RBW8,735.0,-15.0
34,#4,Solstice,VE6CjkevP7,851.0,351.0
34,#3,g,ZLzUxKGvQY,552.0,-198.0
34,#2,AndrewE8,ychRcKVV_K,486.0,-14.0
34,#10,ADURRRR,cUjvHJzz-e,574.0,74.0
34,#1,AJB,G5tNeuz87W,407.0,-93.0
35,#9,MS,5qVbrQw2gS,645.0,-105.0
35,#5,alex,6_sDk2RBW8,735.0,-15.0
35,#4,Solstice,VE6CjkevP7,851.0,351.0
35,#3,g,ZLzUxKGvQY,525.0,-225.0
35,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
35,#10,ADURRRR,cUjvHJzz-e,574.0,74.0
35,#1,AJB,G5tNeuz87W,436.0,-64.0
36,#9,MS,5qVbrQw2gS,688.0,-62.0
36,#5,alex,6_sDk2RBW8,699.0,-51.0
36,#4,Solstice,VE6CjkevP7,846.0,346.0
36,#3,g,ZLzUxKGvQY,523.0,-227.0
36,#2,AndrewE8,ychRcKVV_K,484.0,-16.0
36,#10,ADURRRR,cUjvHJzz-e,574.0,74.0
36,#1,AJB,G5tNeuz87W,436.0,-64.0
37,#9,MS,5qVbrQw2gS,688.0,-62.0
37,#7,tefy,mfsSSCynd7,500.0,0.0
37,#5,alex,6_sDk2RBW8,794.0,44.0
37,#4,Solstice,VE6CjkevP7,844.0,344.0
37,#3,g,ZLzUxKGvQY,445.0,-305.0
37,#2,AndrewE8,ychRcKVV_K,469.0,-31.0
37,#10,ADURRRR,cUjvHJzz-e,574.0,74.0
37,#1,AJB,G5tNeuz87W,436.0,-64.0
38,#9,MS,5qVbrQw2gS,688.0,-62.0
38,#7,tefy,mfsSSCynd7,517.0,17.0
38,#5,alex,6_sDk2RBW8,792.0,42.0
38,#4,Solstice,VE6CjkevP7,844.0,344.0
38,#3,g,ZLzUxKGvQY,445.0,-305.0
38,#2,AndrewE8,ychRcKVV_K,454.0,-46.0
38,#10,ADURRRR,cUjvHJzz-e,574.0,74.0
38,#1,AJB,G5tNeuz87W,436.0,-64.0
38,-1,ADURRRR,cUjvHJzz-e,574.0,74.0
39,#9,MS,5qVbrQw2gS,683.0,-67.0
39,#7,tefy,mfsSSCynd7,515.0,15.0
39,#5,alex,6_sDk2RBW8,792.0,42.0
39,#4,Solstice,VE6CjkevP7,996.0,496.0
39,#3,g,ZLzUxKGvQY,445.0,-305.0
39,#2,AndrewE8,ychRcKVV_K,309.0,-191.0
39,#1,AJB,G5tNeuz87W,436.0,-64.0
40,#9,MS,5qVbrQw2gS,678.0,-72.0
40,#7,tefy,mfsSSCynd7,515.0,15.0
40,#5,alex,6_sDk2RBW8,792.0,42.0
40,#4,Solstice,VE6CjkevP7,996.0,496.0
40,#3,g,ZLzUxKGvQY,440.0,-310.0
40,#2,AndrewE8,ychRcKVV_K,309.0,-191.0
40,#1,AJB,G5tNeuz87W,446.0,-54.0
